SOURCE,RA,DEC,catalog,Class
SDSSJ002900.98-011341.7,7.25,-1.23,FRI,C
SDSSJ003930.52-103218.6,9.88,-10.54,FRI,I
SDSSJ004148.22-091703.1,10.45,-9.28,FRI,I
SDSSJ004300.63-091346.3,10.75,-9.23,FRI,I
SDSSJ004530.46-004746.9,11.38,-0.80,FRI,II
SDSSJ011255.11-095040.6,18.23,-9.84,FRI,I
SDSSJ013327.25-082416.4,23.36,-8.40,FRI,I
SDSSJ013412.78-010729.4,23.55,-1.12,FRI,I
SDSSJ013503.43-005427.6,23.76,-0.91,FRI,I
SDSSJ015253.79-001005.5,28.22,-0.17,FRI,I
SDSSJ025227.52-075605.4,43.11,-7.93,FRI,I
SDSSJ025437.99+005621.9,43.66,0.94,FRI,I
SDSSJ073014.37+393200.4,112.56,39.53,FRI,II
SDSSJ073505.25+415827.5,113.77,41.97,FRI,I
SDSSJ074125.85+480914.3,115.36,48.15,FRI,I
SDSSJ074351.25+282128.0,115.96,28.36,FRI,I
SDSSJ075309.91+355557.1,118.29,35.93,FRI,I
SDSSJ075506.67+262115.9,118.78,26.35,FRI,I
SDSSJ080113.28+344030.8,120.31,34.68,FRI,II
SDSSJ080326.62+303725.0,120.86,30.62,FRI,C
SDSSJ080923.10+211546.2,122.35,21.26,FRI,C
SDSSJ081523.21+115715.1,123.85,11.95,FRI,I
SDSSJ081604.40+112449.4,124.02,11.41,FRI,I
SDSSJ081614.27+425657.6,124.06,42.95,FRI,I
SDSSJ081849.74+040631.5,124.71,4.11,FRI,I
SDSSJ081932.66+200748.8,124.89,20.13,FRI,II
SDSSJ082025.14+160123.2,125.10,16.02,FRI,I
SDSSJ082028.09+485347.3,125.12,48.90,FRI,I
SDSSJ082603.81+471910.3,126.52,47.32,FRI,I
SDSSJ082729.73+530733.4,126.87,53.13,FRI,I
SDSSJ082733.62+160053.7,126.89,16.01,FRI,I
SDSSJ082926.46+224436.3,127.36,22.74,FRI,I
SDSSJ083138.83+223422.9,127.91,22.57,FRI,I
SDSSJ083159.69+303930.7,128.00,30.66,FRI,I
SDSSJ083224.13+164949.1,128.10,16.83,FRI,II
SDSSJ084140.57+254827.9,130.42,25.81,FRI,I
SDSSJ084159.65+500551.7,130.50,50.10,FRI,C
SDSSJ085321.54+331629.9,133.34,33.27,FRI,I
SDSSJ085719.46+241142.6,134.33,24.20,FRI,II
SDSSJ090018.16+074535.5,135.08,7.76,FRI,I
SDSSJ090245.43+164710.4,135.69,16.79,FRI,I
SDSSJ090543.54+401704.8,136.43,40.28,FRI,I
SDSSJ091442.02+152155.7,138.68,15.37,FRI,I
SDSSJ092049.04+403952.8,140.20,40.66,FRI,I
SDSSJ092935.02+625659.3,142.40,62.95,FRI,I
SDSSJ093058.74+034827.7,142.74,3.81,FRI,I
SDSSJ093305.27+291015.1,143.27,29.17,FRI,I
SDSSJ094202.04+105818.3,145.51,10.97,FRI,I
SDSSJ094332.99+334158.3,145.89,33.70,FRI,I
SDSSJ094614.50+581937.6,146.56,58.33,FRI,I
SDSSJ095527.76+034516.8,148.87,3.75,FRI,I
SDSSJ100451.83+543404.3,151.22,54.57,FRI,I
SDSSJ100757.06+280147.9,151.99,28.03,FRI,II
SDSSJ100804.13+502642.8,152.02,50.45,FRI,I
SDSSJ101114.38+191425.7,152.81,19.24,FRI,C
SDSSJ101545.46+311500.2,153.94,31.25,FRI,I
SDSSJ101937.94+001955.7,154.91,0.33,FRI,II
SDSSJ102008.61+174817.4,155.04,17.80,FRI,I
SDSSJ102314.24+483122.0,155.81,48.52,FRI,I
SDSSJ102603.83+390524.0,156.52,39.09,FRI,I
SDSSJ102703.83+382013.0,156.77,38.34,FRI,I
SDSSJ103036.15+355459.8,157.65,35.92,FRI,I
SDSSJ103126.60+115250.5,157.86,11.88,FRI,C
SDSSJ103258.88+564453.2,158.25,56.75,FRI,I
SDSSJ103827.01+414852.9,159.61,41.81,FRI,I
SDSSJ103930.43+394718.9,159.88,39.79,FRI,I
SDSSJ104045.34+395448.5,160.19,39.91,FRI,I
SDSSJ104233.38+363946.5,160.64,36.66,FRI,I
SDSSJ104855.28+311945.2,162.23,31.33,FRI,I
SDSSJ104907.26+551314.9,162.28,55.22,FRI,C
SDSSJ104921.13-004005.0,162.34,-0.67,FRI,I
SDSSJ105147.39+552308.3,162.95,55.39,FRI,I
SDSSJ105259.97+430255.0,163.25,43.05,FRI,I
SDSSJ105344.12+492955.9,163.43,49.50,FRI,C
SDSSJ105348.93+402345.9,163.45,40.40,FRI,I
SDSSJ105544.98+452401.4,163.94,45.40,FRI,I
SDSSJ105702.79+564503.1,164.26,56.75,FRI,I
SDSSJ105847.67+164526.0,164.70,16.76,FRI,I
SDSSJ110535.78+091956.3,166.40,9.33,FRI,I
SDSSJ111020.07+204657.5,167.58,20.78,FRI,II
SDSSJ111037.33+541135.7,167.66,54.19,FRI,I
SDSSJ111211.37+304352.3,168.05,30.73,FRI,I
SDSSJ111911.13+081539.8,169.80,8.26,FRI,I
SDSSJ112055.83+173854.0,170.23,17.65,FRI,II
SDSSJ112352.34+443735.6,170.97,44.63,FRI,II
SDSSJ112403.19+475814.9,171.01,47.97,FRI,I
SDSSJ112457.40+171744.7,171.24,17.30,FRI,II
SDSSJ112603.59+545329.1,171.52,54.89,FRI,II
SDSSJ113012.79+235822.1,172.55,23.97,FRI,I
SDSSJ113359.23+490343.4,173.50,49.06,FRI,I
SDSSJ114210.72+552729.6,175.54,55.46,FRI,C
SDSSJ114212.11+101159.0,175.55,10.20,FRI,I
SDSSJ114345.53+192333.4,175.94,19.39,FRI,I
SDSSJ115109.39+435918.6,177.79,43.99,FRI,I
SDSSJ115323.89+305904.8,178.35,30.98,FRI,I
SDSSJ115508.97+232623.4,178.79,23.44,FRI,I
SDSSJ115729.60+292308.1,179.37,29.39,FRI,I
SDSSJ115816.37+340605.9,179.57,34.10,FRI,II
